step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
0,25,21,16,34,29,29,23,22,26,22,31,17,30,19,30,26
1,25,25,21,22,24,27,23,22,32,18,15,20,40,30,32,24
2,23,28,12,17,38,28,25,25,25,22,20,13,35,23,41,25
3,18,27,13,20,39,24,12,26,36,18,25,19,41,34,26,22
4,18,26,13,22,34,23,21,23,33,20,24,16,41,23,33,30
5,30,27,10,21,26,27,17,24,28,25,23,12,43,41,20,26
6,18,24,8,22,32,28,16,30,43,20,15,10,45,27,35,27
7,28,31,9,27,34,34,13,24,30,17,9,16,46,35,25,22
8,24,33,12,32,32,32,8,29,26,23,12,11,41,26,25,34
9,24,36,12,25,40,33,3,25,26,14,12,13,44,37,34,22
10,32,31,5,30,27,40,10,28,29,12,13,10,46,38,11,38
11,27,38,6,28,28,41,12,24,18,15,9,7,48,35,35,29
12,20,42,4,29,38,31,5,28,31,18,6,8,42,42,27,29
13,24,35,6,34,27,35,8,33,24,9,3,9,59,37,28,29
14,35,43,9,36,26,35,5,29,15,10,4,9,49,37,23,35
15,23,41,3,36,27,34,7,27,27,12,3,6,47,35,26,46
16,37,51,6,40,30,35,4,33,18,4,6,6,54,35,18,23
17,32,49,2,37,24,33,5,30,27,5,2,6,46,40,25,37
18,26,46,4,37,24,37,10,31,25,8,0,7,51,33,20,41
19,28,52,4,40,31,35,4,30,25,3,2,5,53,31,20,37
20,34,61,1,41,22,31,7,29,23,6,1,4,49,37,19,35
21,29,57,3,33,23,44,3,35,19,6,0,6,46,38,20,38
22,33,57,1,30,33,45,6,35,15,3,1,4,56,35,22,24
23,21,52,4,44,21,46,0,40,19,6,2,8,44,36,26,31
24,40,51,3,46,27,38,4,28,19,2,0,6,37,47,21,31
25,22,53,4,47,30,45,3,39,15,3,0,8,51,40,14,26
26,32,62,3,44,17,42,5,30,20,6,0,4,43,33,26,33
27,22,60,4,47,31,40,2,42,15,6,0,3,38,40,14,36
28,26,62,4,46,27,43,3,33,18,7,1,1,49,30,21,29
29,28,66,2,54,31,43,1,29,17,4,0,3,34,35,19,34
30,26,69,3,50,22,44,1,34,22,3,0,3,37,34,23,29
31,26,68,1,46,25,52,2,34,19,0,0,3,50,33,13,28
32,21,66,2,56,24,52,1,38,14,4,0,2,40,34,19,27
33,25,70,0,53,23,55,1,39,17,3,0,1,40,34,20,19
34,27,67,2,52,17,55,2,46,17,2,0,3,40,26,17,27
35,24,66,2,55,24,61,3,34,13,1,0,4,34,33,14,32
36,20,74,3,46,22,53,0,42,16,2,0,4,43,29,17,29
37,18,75,1,47,17,54,1,36,25,0,0,2,38,35,24,27
