step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
0,18,29,30,24,24,30,23,28,29,23,23,28,20,23,22,26
1,17,33,14,23,24,30,29,15,22,26,24,24,38,28,32,21
2,18,36,20,25,17,31,25,23,29,22,21,16,28,24,41,24
3,19,35,23,22,27,34,19,26,24,13,23,19,39,27,30,20
4,21,36,11,24,23,36,17,25,28,20,23,14,32,26,45,19
5,22,43,13,25,24,35,21,26,18,16,20,10,42,20,36,29
6,18,38,16,29,19,33,26,24,25,16,22,7,30,36,32,29
7,21,42,14,30,30,47,15,24,21,20,15,4,40,22,33,22
8,19,41,14,24,21,47,20,26,22,11,9,8,34,32,43,29
9,22,44,11,27,29,52,17,22,18,8,12,8,40,36,32,22
10,13,47,11,29,28,45,11,27,20,14,7,10,39,40,29,30
11,23,53,17,23,17,54,13,27,18,6,10,9,43,38,26,23
12,21,61,8,25,26,51,10,28,11,11,9,4,46,29,34,26
13,17,61,6,34,27,50,12,27,23,6,2,9,33,35,30,28
14,19,59,6,31,19,49,9,35,17,8,5,9,44,40,19,31
15,29,59,6,37,33,52,5,27,14,9,1,6,26,43,25,28
16,13,67,6,39,20,54,8,25,16,7,3,6,55,37,16,28
17,13,79,5,30,19,56,7,30,15,6,3,6,38,41,22,30
18,24,66,5,46,18,65,4,25,11,12,1,5,40,35,26,17
19,20,81,5,48,10,66,3,24,19,8,0,7,29,30,14,36
20,14,84,2,36,14,71,2,27,9,8,1,8,40,34,22,28
21,19,85,1,34,14,73,1,33,15,6,0,2,30,40,23,24
22,11,83,1,42,21,78,2,29,12,6,0,4,31,35,16,29
23,15,81,1,39,14,73,0,34,12,4,1,4,34,42,18,28
24,17,92,0,39,20,80,2,32,5,5,0,6,27,34,16,25
25,21,87,1,37,8,83,1,28,11,3,0,3,29,43,15,30
26,10,91,0,39,19,78,2,30,10,6,0,2,33,38,14,28
27,18,97,1,39,12,87,0,32,7,3,0,3,27,45,14,15
28,16,96,1,44,7,82,0,29,13,8,0,0,20,45,14,25
29,17,84,1,46,14,85,1,34,9,3,0,2,22,42,18,22
30,12,90,0,40,14,86,1,41,11,5,0,2,21,36,8,33
31,15,97,1,42,6,77,0,46,10,3,0,2,24,38,13,26
32,10,99,0,42,16,90,0,34,9,4,0,1,21,34,10,30
33,14,99,0,42,12,90,2,30,6,4,0,2,24,43,10,22
34,14,97,1,43,13,89,0,33,5,2,0,2,24,43,9,25
35,6,100,3,52,8,87,1,36,13,4,0,2,26,30,8,24
36,15,103,1,48,8,93,0,31,4,4,0,3,26,30,14,20
37,9,104,0,43,9,101,0,38,7,5,0,2,19,28,4,31
38,10,103,0,50,9,99,0,38,9,4,0,1,16,35,9,17
39,13,106,0,48,9,102,0,38,6,5,0,3,25,27,2,16
40,11,107,0,46,13,106,0,36,8,4,0,1,17,31,0,20
41,9,106,0,42,7,115,0,36,3,4,0,2,24,37,0,15
42,17,102,0,48,13,106,0,42,5,4,0,1,12,32,0,18
43,14,117,0,46,9,116,0,34,6,3,0,0,17,26,0,12
44,12,120,0,49,9,96,0,41,6,5,0,2,13,31,0,16
45,14,126,0,52,7,104,0,41,2,2,0,0,16,22,0,14
46,9,118,0,45,10,115,0,45,6,1,0,1,18,19,0,13
47,9,127,0,50,9,108,0,44,3,1,0,1,15,19,0,14
48,11,129,0,46,11,114,0,43,4,5,0,3,11,16,0,7
49,9,149,0,48,8,111,0,37,2,5,0,0,6,14,0,11
50,14,130,0,50,11,113,0,45,2,1,0,1,13,16,0,4
51,12,136,0,42,6,125,0,44,6,4,0,0,4,11,0,10
52,8,136,0,45,12,122,0,49,3,0,0,1,8,12,0,4
53,13,133,0,51,8,120,0,51,3,5,0,1,5,6,0,4
54,7,146,0,41,10,125,0,50,3,0,0,1,5,10,0,2
55,10,134,0,53,14,116,0,49,4,4,0,0,5,9,0,2
56,11,142,0,60,7,120,0,41,1,5,0,1,5,6,0,1
57,13,144,0,58,5,121,0,42,1,4,0,0,3,6,0,3
58,7,145,0,58,16,117,0,42,2,3,0,0,3,6,0,1
59,7,149,0,64,7,111,0,52,1,2,0,1,2,4,0,0
60,15,138,0,55,4,131,0,45,1,5,0,0,3,3,0,0
61,2,149,0,59,7,121,0,52,1,3,0,0,0,6,0,0
62,11,144,0,54,7,123,0,47,0,6,0,1,2,5,0,0
63,6,161,0,46,7,122,0,48,0,8,0,1,1,0,0,0
64,5,155,0,52,7,124,0,50,1,5,0,1,0,0,0,0
65,7,166,0,52,4,114,0,50,1,4,0,2,0,0,0,0
66,3,154,0,56,10,118,0,50,1,5,0,3,0,0,0,0
67,4,165,0,55,5,115,0,50,1,4,0,1,0,0,0,0
68,9,155,0,47,5,125,0,49,0,8,0,2,0,0,0,0
69,4,161,0,51,5,119,0,54,1,4,0,1,0,0,0,0
70,4,151,0,67,3,131,0,37,1,5,0,1,0,0,0,0
71,6,161,0,55,3,118,0,50,0,6,0,1,0,0,0,0
72,5,147,0,57,2,143,0,40,1,4,0,1,0,0,0,0
73,4,161,0,54,7,119,0,46,0,7,0,2,0,0,0,0
74,3,173,0,58,3,113,0,46,0,3,0,1,0,0,0,0
75,7,160,0,48,5,134,0,41,0,4,0,1,0,0,0,0
76,2,154,0,59,1,123,0,52,0,7,0,2,0,0,0,0
77,3,169,0,53,1,128,0,38,0,6,0,2,0,0,0,0
78,0,158,0,56,0,137,0,46,0,3,0,0,0,0,0,0
79,0,164,0,43,0,133,0,50,0,8,0,2,0,0,0,0
80,0,168,0,54,0,127,0,47,0,2,0,2,0,0,0,0
81,0,169,0,48,0,129,0,45,0,8,0,1,0,0,0,0
82,0,165,0,61,0,128,0,42,0,2,0,2,0,0,0,0
83,0,172,0,48,0,127,0,42,0,8,0,3,0,0,0,0
84,0,158,0,58,0,133,0,47,0,4,0,0,0,0,0,0
85,0,173,0,50,0,125,0,44,0,6,0,2,0,0,0,0
86,0,173,0,49,0,120,0,52,0,4,0,2,0,0,0,0
87,0,170,0,50,0,127,0,46,0,5,0,2,0,0,0,0
88,0,164,0,53,0,132,0,44,0,3,0,4,0,0,0,0
89,0,163,0,48,0,136,0,48,0,2,0,3,0,0,0,0
90,0,159,0,52,0,137,0,45,0,5,0,2,0,0,0,0
91,0,170,0,53,0,126,0,44,0,2,0,5,0,0,0,0
92,0,171,0,48,0,126,0,50,0,1,0,4,0,0,0,0
93,0,168,0,54,0,130,0,41,0,2,0,5,0,0,0,0
94,0,166,0,52,0,128,0,45,0,4,0,5,0,0,0,0
95,0,168,0,53,0,130,0,45,0,1,0,3,0,0,0,0
96,0,169,0,59,0,126,0,39,0,4,0,3,0,0,0,0
97,0,174,0,52,0,122,0,47,0,3,0,2,0,0,0,0
98,0,170,0,50,0,126,0,48,0,3,0,3,0,0,0,0
99,0,173,0,54,0,121,0,45,0,3,0,4,0,0,0,0
100,0,161,0,54,0,135,0,45,0,3,0,2,0,0,0,0
101,0,171,0,53,0,126,0,42,0,3,0,5,0,0,0,0
102,0,174,0,53,0,122,0,46,0,3,0,2,0,0,0,0
103,0,176,0,52,0,120,0,44,0,4,0,4,0,0,0,0
104,0,174,0,54,0,121,0,46,0,3,0,2,0,0,0,0
105,0,176,0,58,0,119,0,39,0,4,0,4,0,0,0,0
106,0,164,0,52,0,132,0,47,0,2,0,3,0,0,0,0
107,0,176,0,55,0,123,0,40,0,1,0,5,0,0,0,0
108,0,164,0,49,0,131,0,46,0,4,0,6,0,0,0,0
109,0,175,0,53,0,126,0,43,0,1,0,2,0,0,0,0
110,0,167,0,52,0,127,0,45,0,5,0,4,0,0,0,0
111,0,176,0,55,0,125,0,38,0,3,0,3,0,0,0,0
112,0,164,0,56,0,128,0,43,0,6,0,3,0,0,0,0
113,0,175,0,49,0,125,0,48,0,2,0,1,0,0,0,0
114,0,168,0,50,0,125,0,48,0,6,0,3,0,0,0,0
115,0,178,0,54,0,122,0,42,0,2,0,2,0,0,0,0
116,0,175,0,50,0,123,0,46,0,2,0,4,0,0,0,0
117,0,158,0,48,0,142,0,45,0,3,0,4,0,0,0,0
118,0,171,0,57,0,128,0,40,0,1,0,3,0,0,0,0
119,0,174,0,42,0,127,0,49,0,3,0,5,0,0,0,0
120,0,172,0,52,0,125,0,45,0,2,0,4,0,0,0,0
121,0,177,0,50,0,125,0,41,0,2,0,5,0,0,0,0
122,0,180,0,49,0,119,0,45,0,2,0,5,0,0,0,0
123,0,182,0,49,0,122,0,43,0,1,0,3,0,0,0,0
124,0,169,0,47,0,129,0,48,0,3,0,4,0,0,0,0
125,0,187,0,47,0,113,0,47,0,2,0,4,0,0,0,0
126,0,180,0,53,0,119,0,44,0,3,0,1,0,0,0,0
127,0,177,0,48,0,122,0,42,0,5,0,6,0,0,0,0
128,0,178,0,58,0,121,0,39,0,3,0,1,0,0,0,0
